name	x	y	z	size	manufacturer	material
G'8	-0.03001	0.04527	0.04952	7.5	Dixi Medical	PtIr
G'9	-0.03131	0.04576	0.05248	7.5	Dixi Medical	PtIr
H'2	-0.00252	0.02473	0.05455	7.5	Dixi Medical	PtIr
H'3	-0.00605	0.02633	0.0553	7.5	Dixi Medical	PtIr
H'8	-0.02168	0.03071	0.05958	7.5	Dixi Medical	PtIr
H'9	-0.02462	0.03182	0.06058	7.5	Dixi Medical	PtIr
X'2	-0.00505	0.0504	0.01775	7.5	Dixi Medical	PtIr
X'3	-0.00505	0.04988	0.02159	7.5	Dixi Medical	PtIr
X'6	-0.00605	0.0483	0.03252	7.5	Dixi Medical	PtIr
X'7	-0.00605	0.04778	0.03655	7.5	Dixi Medical	PtIr
X'14	-0.00505	0.04411	0.06085	7.5	Dixi Medical	PtIr
X'15	-0.00505	0.04367	0.06444	7.5	Dixi Medical	PtIr
Y'1	-0.00323	0.02268	0.06523	7.5	Dixi Medical	PtIr
Y'2	-0.00613	0.02345	0.066	7.5	Dixi Medical	PtIr
Y'5	-0.01597	0.0261	0.06899	7.5	Dixi Medical	PtIr
Y'6	-0.01878	0.02687	0.07002	7.5	Dixi Medical	PtIr
