被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,79.03,0.9902,0.9868,74.25,0.6833,0.5841,69.83,0.6985,0.5977
S2,78.37,0.9809,0.9746,63.55,0.6055,0.4711,48.28,0.4752,0.3103
S3,80.3,0.9905,0.9875,77.24,0.7364,0.6543,73.28,0.7317,0.6437
S4,79.1,0.9879,0.9838,65.31,0.5984,0.4708,56.9,0.5664,0.4253
S5,79.71,0.9934,0.9912,76.29,0.7134,0.6265,62.07,0.616,0.4943
S6,78.03,0.9844,0.9791,65.72,0.6378,0.5176,53.45,0.5327,0.3793
S7,80.51,0.9936,0.9914,76.56,0.728,0.6367,79.31,0.7926,0.7241
S8,80.93,0.9982,0.9976,81.98,0.8003,0.7324,69.83,0.6966,0.5977
S9,81.77,0.9993,0.9991,80.35,0.7606,0.6836,76.72,0.7638,0.6897
平均,79.75,0.9909,0.9879,73.47,0.696,0.5975,65.52,0.6526,0.5402
