被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,93.48,0.9956,0.9941,81.98,0.7854,0.7162,82.76,0.8272,0.7701
S2,92.86,0.9965,0.9953,64.77,0.6125,0.4783,67.24,0.673,0.5632
S3,97.03,0.9993,0.9991,88.89,0.8654,0.8191,93.1,0.9306,0.908
S4,89.92,0.9861,0.9813,66.53,0.6035,0.4777,58.62,0.5817,0.4483
S5,94.72,0.999,0.9986,70.87,0.6717,0.5615,71.55,0.7151,0.6207
S6,90.04,0.9865,0.982,66.8,0.638,0.5214,66.38,0.6589,0.5517
S7,95.84,0.999,0.9986,77.91,0.7324,0.6459,79.31,0.7981,0.7241
S8,97.3,0.9995,0.9994,86.04,0.8304,0.774,90.52,0.9055,0.8736
S9,95.81,0.9995,0.9994,84.82,0.8243,0.767,82.76,0.8271,0.7701
平均,94.11,0.9957,0.9942,76.51,0.7293,0.6401,76.92,0.7686,0.6922
