被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,80.21,0.862,0.8156,66.26,0.6231,0.5075,68.97,0.6879,0.5862
S2,69.76,0.8599,0.8133,53.79,0.5059,0.3309,53.45,0.5312,0.3793
S3,86.43,0.9533,0.937,75.88,0.7227,0.6354,74.14,0.7307,0.6552
S4,75.98,0.9079,0.8763,60.57,0.5591,0.4259,57.76,0.5783,0.4368
S5,83.57,0.9613,0.9485,71.41,0.6657,0.567,68.1,0.682,0.5747
S6,69.93,0.7872,0.722,55.96,0.5083,0.3565,57.76,0.5761,0.4368
S7,85.34,0.9685,0.958,76.29,0.7177,0.6295,79.31,0.7944,0.7241
S8,91.55,0.9859,0.9811,86.72,0.8212,0.7615,81.03,0.8078,0.7471
S9,90.64,0.9916,0.9888,79.54,0.7596,0.6856,84.48,0.8434,0.7931
平均,81.49,0.9197,0.8934,69.6,0.6537,0.5444,69.44,0.6924,0.5926
