Subject,Model,CV_Train_Acc(%),CV_Val_Acc(%),Test_Acc(%),Test_F1,Test_Kappa,Epochs,Time(min)
S1,PINN-only,50.93,51.37,50.0,0.3333,0.0,25,3.6
S1,CNN-only,94.35,89.54,86.21,0.8606,0.7241,80,7.1
S2,PINN-only,50.16,52.29,50.0,0.3333,0.0,30,3.4
S2,CNN-only,84.93,68.22,55.17,0.543,0.1034,55,5.3
S3,PINN-only,49.91,54.38,50.0,0.3333,0.0,30,3.4
S3,CNN-only,98.08,97.4,89.66,0.8954,0.7931,50,4.4
S4,PINN-only,51.52,46.99,50.0,0.3333,0.0,25,3.2
S4,CNN-only,93.28,80.43,74.14,0.735,0.4828,65,5.8
S5,PINN-only,51.47,50.12,50.0,0.3333,0.0,25,3.3
S5,CNN-only,91.79,90.44,86.21,0.8606,0.7241,60,5.4
S6,PINN-only,51.2,49.62,50.0,0.3333,0.0,25,3.3
S6,CNN-only,92.68,75.15,70.69,0.696,0.4138,55,5.4
S7,PINN-only,51.16,51.81,50.0,0.3333,0.0,35,3.5
S7,CNN-only,94.55,91.26,89.66,0.8964,0.7931,65,5.6
S8,PINN-only,50.8,50.85,50.0,0.3333,0.0,45,3.7
S8,CNN-only,98.39,99.13,96.55,0.9655,0.931,45,4.1
S9,PINN-only,53.61,56.14,86.21,0.8614,0.7241,80,4.7
S9,CNN-only,97.08,94.82,89.66,0.8954,0.7931,60,5.0
