被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,84.97,0.9313,0.9076,72.36,0.6825,0.5803,75.0,0.7521,0.6667
S2,71.29,0.8765,0.8362,53.93,0.5051,0.335,56.03,0.5635,0.4138
S3,89.02,0.9896,0.9861,79.54,0.7587,0.6834,80.17,0.7973,0.7356
S4,78.1,0.9225,0.8968,64.5,0.604,0.4847,59.48,0.5906,0.4598
S5,84.25,0.9747,0.9661,71.27,0.6799,0.5827,68.97,0.689,0.5862
S6,73.57,0.8513,0.798,57.18,0.5201,0.3657,67.24,0.6756,0.5632
S7,86.94,0.9731,0.9642,76.29,0.7248,0.6404,80.17,0.8019,0.7356
S8,91.21,0.9889,0.985,86.04,0.824,0.7669,82.76,0.83,0.7701
S9,87.82,0.9814,0.9752,77.78,0.746,0.6732,84.48,0.8419,0.7931
平均,83.02,0.9432,0.9239,70.99,0.6717,0.568,72.7,0.7269,0.636
