learning_rate,batch_size,dropout,patience,mle,iteration,actual_attempt
0.008361574211448742,14.881103495742149,0.1266938332462454,23.012895253169837,4.914804887224352,1,1
0.002173069377208029,21.738662107217035,0.21242930375859737,14.360648903409485,6.598820695116169,2,2
0.0031331188923925677,11.835876785529717,0.347046749021401,24.423162580305245,5.89355993622186,3,3
0.002646182395558713,12.876303741307996,0.17651716203076645,28.206838209185154,6.139767701686363,4,4
0.009040255638898598,24.42246436165774,0.47843943456130933,17.077847581168353,5.16626724133882,5,5
0.009268007328824098,14.970442382825986,0.11770634785059095,22.631381533032517,3.4059352493753146,6,6
0.0007093003790080148,18.71933013062374,0.14664459041367972,25.983518013384177,4.755039731427685,7,7
0.0012081562125447552,10.390398279630539,0.1653310940413426,11.541737565022316,4.732151010966175,8,8
0.0005760113296150548,19.264276160951503,0.2608001483733971,23.661288079958112,5.849846791126657,9,9
0.006194219577878242,19.531341825732767,0.3194794356446312,20.98727833407523,4.116065593236827,10,10
0.007993395595128308,11.768455102645996,0.11836846778061001,23.487643180285566,5.299243729329362,11,11
0.001369609575392485,8.854458926413624,0.4850712708863081,11.472749097083126,7.2689226165295135,12,12
0.008892213460843998,18.146798133951034,0.11411564908193622,22.33566516457337,4.579870553263588,13,13
0.00780245325099174,27.361604589006436,0.1601236767236638,24.048138950140903,3.35721127427644,14,14
0.009672732398339452,15.406186762863745,0.11346616913547829,22.40960374023686,4.500259449352221,15,15
0.00763897597679735,27.30919493473764,0.16322019328909737,24.450393956433807,5.7038635476619755,16,16
0.004266644411135422,29.797378725654042,0.23722917470279478,22.82504250704644,5.11259674044879,17,17
0.007825067327036037,15.721626969513403,0.43717077573896423,13.586014422358172,6.6492779137040925,18,18
0.003652190031081555,24.519700486070793,0.2853374615562895,23.159755298386038,6.553721492188091,19,19
0.006202744168836447,29.55383091204771,0.14346074390896058,25.66513408061045,3.4465826718678345,20,20
0.009668975958112698,29.3377540410039,0.26566282322122664,19.575227200025463,4.4717043674988775,21,21
0.0011257058039721125,24.87511843239802,0.32801050785617747,28.09484381625539,7.7711359419883745,22,22
0.008417437917547657,25.448560216595475,0.24373488222436693,22.937205192741665,4.788705421414587,23,23
0.008775629664524132,22.83573280907766,0.22963280039499306,29.73206125963916,4.1605096573635505,24,24
0.0006585956691986177,13.443816462575025,0.2235687815964742,11.193884889968505,6.629509366087464,25,25
0.0028577985435142544,19.472496486655423,0.33717592228423465,10.52262120984863,7.190018585205861,26,26
0.0065319818056548155,13.065492337146159,0.35585566304854854,20.30627425869279,5.286147186511447,27,27
0.006728253676818125,10.610450852957708,0.11720975855014966,28.47961731535003,5.059177336422856,28,28
0.003533604988599544,28.385112651038902,0.21645402632415972,11.018681780546567,5.315748265049277,29,29
0.0015531680380198166,29.59938642252997,0.29705042963024375,22.629189177850442,6.266454827253556,30,30
0.0022838198393146693,8.539913682759039,0.38308429808894184,12.21356764501518,5.27142924618168,31,31
0.007606858028989869,30.086050536162155,0.3127322325189358,24.20633604579286,3.928688280843146,32,32
0.0038930150733879638,9.328703416628663,0.1575291951310661,19.876680496094853,5.542149593371589,33,33
0.0014775863849603406,11.093171609705797,0.20694047149261327,29.99128887785509,5.851874153917338,34,34
0.00033186674818783433,17.19302519452521,0.2908610801044018,16.519255393591546,5.400222843982374,35,35
0.0013808876836974595,28.744428389778783,0.49737239331504124,25.490455684057366,7.699951975696979,36,36
0.003242135286253664,23.724113294077366,0.3567170159818748,17.512454176651083,6.473499542590773,37,37
0.004959993318980299,13.778079356676706,0.19737850209479757,21.200021466164927,4.101226674354425,38,38
0.00045628696518165723,18.480053012655688,0.42786433054741235,16.414562554298794,7.426976531304536,39,39
0.005393119187158564,17.980951304503236,0.2539123188118744,23.43014503898866,5.118708815809473,40,40
0.006175042904880546,11.251622237557696,0.1841157388796748,12.38870077136218,5.570400035836053,41,41
0.0007995451711951254,28.301507007490798,0.13234608157611089,19.330688904056714,2.8962758251535705,42,42
0.0053699600259646185,16.14780071900296,0.3772840849805895,28.055862792869036,4.720528455417875,43,43
0.0007028265812891789,12.762320935324045,0.3645054285968955,21.000493063908227,5.482016044890474,44,44
0.005961513539809404,12.887538307112479,0.3675970050052345,19.606502511680866,3.911580873197079,45,45
0.00822745127409578,21.84227321894903,0.48932667149398035,10.9521336067382,4.8800614255299894,46,46
0.0034679458286306576,25.777692806776432,0.2311708078016421,20.417195469211286,6.83108144567028,47,47
0.005296199809242165,16.66625847134498,0.4670216020392318,26.021342323671853,4.726751729677693,48,48
0.009794207194040474,28.023947081708084,0.2870411554573775,28.175642220408825,5.566046498343784,49,49
0.007941905857397406,10.293814510585735,0.33438811643581057,16.93060881924312,5.046979347203931,50,50
