被试,交叉验证_训练准确率(%),交叉验证_验证准确率(%),最终模型_训练准确率(%),最终模型_训练F1,最终模型_训练Kappa,实际训练轮次,最终模型_测试准确率(%),最终模型_测试F1,最终模型_测试Kappa
S1,84.33,76.29,98.7,0.987,0.9739,50.0,94.83,0.9483,0.8966
S2,59.32,57.01,53.33,0.4034,0.0667,45.0,51.72,0.3705,0.0345
S3,98.57,96.97,99.71,0.9971,0.9942,45.0,98.28,0.9828,0.9655
S4,87.02,78.56,96.81,0.9681,0.9362,65.0,75.86,0.7583,0.5172
S5,84.73,83.38,95.36,0.9536,0.9072,65.0,89.66,0.8961,0.7931
S6,89.56,80.34,98.26,0.9826,0.9652,65.0,67.24,0.6676,0.3448
S7,94.19,89.2,97.68,0.9768,0.9536,55.0,93.1,0.931,0.8621
S8,98.95,98.22,99.71,0.9971,0.9942,35.0,93.1,0.9307,0.8621
S9,97.72,96.55,99.57,0.9957,0.9913,50.0,84.48,0.8448,0.6897
平均,88.26,84.06,93.24,0.9179,0.8647,52.8,83.14,0.8144,0.6628
