name	x	y	z	size	manufacturer	material
O1	0.00416	-0.06212	0.01745	7.5	Dixi Medical	PtIr
O2	0.00889	-0.06191	0.01428	7.5	Dixi Medical	PtIr
O9	0.03294	-0.06593	0.01177	7.5	Dixi Medical	PtIr
O10	0.03638	-0.06651	0.01141	7.5	Dixi Medical	PtIr
P1	-0.0011	-0.0444	0.04064	7.5	Dixi Medical	PtIr
P2	0.00494	-0.04376	0.03899	7.5	Dixi Medical	PtIr
P8	0.02551	-0.04727	0.04143	7.5	Dixi Medical	PtIr
P9	0.02894	-0.04786	0.04184	7.5	Dixi Medical	PtIr
P12	0.03922	-0.04961	0.04306	7.5	Dixi Medical	PtIr
P13	0.04265	-0.0502	0.04347	7.5	Dixi Medical	PtIr
W'2	-0.03575	-0.01689	0.01816	7.5	Dixi Medical	PtIr
W'3	-0.03935	-0.01658	0.0182	7.5	Dixi Medical	PtIr
W'7	-0.05326	-0.01473	0.01735	7.5	Dixi Medical	PtIr
W'8	-0.05667	-0.01436	0.01734	7.5	Dixi Medical	PtIr
