name	x	y	z	size	manufacturer	material
O1	0.00245	-0.0788	0.01541	7.5	Dixi Medical	PtIr
O2	0.00758	-0.07976	0.00944	7.5	Dixi Medical	PtIr
O9	0.03791	-0.08639	0.00447	7.5	Dixi Medical	PtIr
O10	0.04213	-0.08697	0.0047	7.5	Dixi Medical	PtIr
P1	0.00109	-0.05492	0.0437	7.5	Dixi Medical	PtIr
P2	0.0079	-0.05455	0.04047	7.5	Dixi Medical	PtIr
P8	0.03058	-0.05892	0.03992	7.5	Dixi Medical	PtIr
P9	0.03526	-0.05899	0.04053	7.5	Dixi Medical	PtIr
P12	0.04787	-0.05925	0.04215	7.5	Dixi Medical	PtIr
P13	0.05165	-0.05957	0.04268	7.5	Dixi Medical	PtIr
W'2	-0.03903	-0.0236	0.006	7.5	Dixi Medical	PtIr
W'3	-0.04298	-0.02347	0.00567	7.5	Dixi Medical	PtIr
W'7	-0.06086	-0.02207	0.00577	7.5	Dixi Medical	PtIr
W'8	-0.06508	-0.02113	0.00648	7.5	Dixi Medical	PtIr
