duration	zero_time	trial_type
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
0.26	0.25	S3-4 1mA
