duration	zero_time	trial_type
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
0.26	0.25	N10-11 1mA
