duration	zero_time	trial_type
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
0.26	0.25	S1-2 5mA
