被试,MNE_Run数,MNE_MLE均值(mm),MNE_MLE最小值(mm),MNE_AUC均值,MNE_AUC最大值,eLORETA_Run数,eLORETA_MLE均值(mm),eLORETA_MLE最小值(mm),eLORETA_AUC均值,eLORETA_AUC最大值
sub-01,11,61.146317252896374,13.622488484418023,0.6790615120084309,0.9804758999389872,11,58.164569367369886,13.308462873863563,0.601464307504576,0.9724222086638195
sub-02,6,71.78815270575363,68.96603782418963,0.37931665649786456,0.6180597925564368,6,43.278203115456115,22.677545863469692,0.38887533048606876,0.637339841366687
sub-03,7,39.17500203608899,29.82273169242557,0.8029286150091519,0.9803538743136059,7,52.65444871038579,39.52203245756122,0.5541357970888173,0.9586333129957291
sub-04,9,56.589229003153605,28.788376603165005,0.5525184733238424,0.8907870652837095,9,44.89920999949208,23.483196962730247,0.6009626466002306,0.8707748627211714
sub-05,14,81.79390247508799,22.1217904020877,0.7480780964002441,0.9976815131177548,14,76.59718895459469,36.708273073073784,0.3722217379935501,0.6967663209273948
sub-06,7,68.68971613629174,37.20587044465115,0.47067026932798744,0.8004881025015254,7,71.36448326317151,37.76921800249996,0.38216682646212846,0.7679072605247101
sub-07,7,79.59715421553312,25.399807274746124,0.47110607513292085,0.9945088468578401,7,82.00691359103608,38.17017895141782,0.5797088817223044,0.9586333129957291
