方法,被试数,MLE均值(mm),MLE标准差(mm),MLE最小值(mm),MLE最大值(mm),AUC均值,AUC标准差,AUC最小值,AUC最大值
MNE,7,65.53992483211506,13.655385758009013,39.17500203608899,81.79390247508799,0.5862399568143488,0.14751656234515823,0.37931665649786456,0.8029286150091519
eLORETA,7,61.28071671450088,14.354785358200598,43.278203115456115,82.00691359103608,0.4970765039796679,0.10161092282179496,0.3722217379935501,0.601464307504576
