name	x	y	z	size	manufacturer	material
B'13	-0.06192	-0.01009	0.01801	7.5	Dixi Medical	PtIr
B'14	-0.06532	-0.01009	0.01844	7.5	Dixi Medical	PtIr
H'1	-0.03157	-0.03243	0.041	7.5	Dixi Medical	PtIr
H'2	-0.03464	-0.03322	0.041	7.5	Dixi Medical	PtIr
H'8	-0.0552	-0.03809	0.04009	7.5	Dixi Medical	PtIr
H'9	-0.05852	-0.03909	0.0402	7.5	Dixi Medical	PtIr
R'2	-0.03531	-0.00109	0.03838	7.5	Dixi Medical	PtIr
R'3	-0.03856	-9e-05	0.03871	7.5	Dixi Medical	PtIr
R'7	-0.05208	0.00291	0.04097	7.5	Dixi Medical	PtIr
R'8	-0.05541	0.00391	0.04188	7.5	Dixi Medical	PtIr
