name	x	y	z	size	manufacturer	material
B'13	-0.06552	-0.00073	0.01684	7.5	Dixi Medical	PtIr
B'14	-0.06892	-0.00073	0.01727	7.5	Dixi Medical	PtIr
H'1	-0.03517	-0.02307	0.03983	7.5	Dixi Medical	PtIr
H'2	-0.03824	-0.02386	0.03983	7.5	Dixi Medical	PtIr
H'8	-0.0588	-0.02873	0.03892	7.5	Dixi Medical	PtIr
H'9	-0.06212	-0.02973	0.03903	7.5	Dixi Medical	PtIr
R'2	-0.03891	0.00827	0.03721	7.5	Dixi Medical	PtIr
R'3	-0.04216	0.00927	0.03754	7.5	Dixi Medical	PtIr
R'7	-0.05568	0.01227	0.0398	7.5	Dixi Medical	PtIr
R'8	-0.05901	0.01327	0.04071	7.5	Dixi Medical	PtIr
