name	x	y	z	size	manufacturer	material
B'13	-0.06485	-0.01497	-0.01635	7.5	Dixi Medical	PtIr
B'14	-0.06822	-0.01528	-0.01617	7.5	Dixi Medical	PtIr
H'1	-0.03447	-0.03048	0.01551	7.5	Dixi Medical	PtIr
H'2	-0.03769	-0.03156	0.01542	7.5	Dixi Medical	PtIr
H'8	-0.06046	-0.03915	0.01587	7.5	Dixi Medical	PtIr
H'9	-0.06409	-0.04052	0.01638	7.5	Dixi Medical	PtIr
R'2	-0.03813	0.00039	0.00457	7.5	Dixi Medical	PtIr
R'3	-0.04178	0.00148	0.00467	7.5	Dixi Medical	PtIr
R'7	-0.05698	0.00572	0.00659	7.5	Dixi Medical	PtIr
R'8	-0.06107	0.00658	0.00738	7.5	Dixi Medical	PtIr
