name	x	y	z	material
e188	0.05266	-0.07596	-0.04396	HydroCel CleanLeads
e189	0.06027	-0.07271	-0.02526	HydroCel CleanLeads
e190	0.07162	-0.06094	-0.00605	HydroCel CleanLeads
e191	0.07447	-0.05433	0.00761	HydroCel CleanLeads
e192	0.08191	-0.04109	0.02903	HydroCel CleanLeads
e193	0.08754	-0.02443	0.04198	HydroCel CleanLeads
e194	0.08474	-0.01541	0.06006	HydroCel CleanLeads
e195	0.07464	-0.00805	0.07945	HydroCel CleanLeads
e196	0.06193	0.00721	0.09357	HydroCel CleanLeads
e197	0.04709	0.01581	0.1049	HydroCel CleanLeads
e198	0.0243	0.01723	0.1143	HydroCel CleanLeads
e199	0.05138	-0.06518	-0.06044	HydroCel CleanLeads
e200	0.06108	-0.05708	-0.04226	HydroCel CleanLeads
e201	0.06884	-0.05532	-0.0254	HydroCel CleanLeads
e202	0.08417	-0.01628	0.02073	HydroCel CleanLeads
e203	0.08497	-0.00486	0.04566	HydroCel CleanLeads
e204	0.07923	0.00606	0.05994	HydroCel CleanLeads
e205	0.06969	0.01509	0.07763	HydroCel CleanLeads
e206	0.05911	0.02492	0.09126	HydroCel CleanLeads
e207	0.03698	0.03226	0.10332	HydroCel CleanLeads
e208	0.05797	-0.04304	-0.05788	HydroCel CleanLeads
e209	0.06893	-0.03832	-0.04554	HydroCel CleanLeads
e210	0.08267	0.00288	0.00732	HydroCel CleanLeads
e211	0.08615	-0.00232	0.02657	HydroCel CleanLeads
e212	0.08566	0.01572	0.04253	HydroCel CleanLeads
e213	0.07528	0.02584	0.06274	HydroCel CleanLeads
e214	0.0662	0.03419	0.07832	HydroCel CleanLeads
e215	0.0479	0.04648	0.09463	HydroCel CleanLeads
e216	0.06752	-0.02575	-0.06542	HydroCel CleanLeads
e217	0.08159	-0.01338	-0.04819	HydroCel CleanLeads
e218	0.08114	0.00056	-0.02922	HydroCel CleanLeads
e219	0.08034	0.00632	-0.01015	HydroCel CleanLeads
e220	0.07991	0.02157	0.00505	HydroCel CleanLeads
e221	0.07737	0.03384	0.03106	HydroCel CleanLeads
e222	0.07448	0.04124	0.04837	HydroCel CleanLeads
e223	0.06752	0.04549	0.06641	HydroCel CleanLeads
e224	0.05666	0.05676	0.07863	HydroCel CleanLeads
e225	0.07967	0.03261	-0.00697	HydroCel CleanLeads
e226	0.07281	0.04334	-0.00433	HydroCel CleanLeads
e227	0.07857	0.02115	-0.02663	HydroCel CleanLeads
e228	0.07882	0.00673	-0.04557	HydroCel CleanLeads
e229	0.07554	-0.00312	-0.06028	HydroCel CleanLeads
e230	0.06719	0.05392	-0.02224	HydroCel CleanLeads
e231	0.07313	0.03573	-0.03111	HydroCel CleanLeads
e232	0.07608	0.02584	-0.04915	HydroCel CleanLeads
e233	0.07323	0.01598	-0.06154	HydroCel CleanLeads
e234	0.06147	0.06094	-0.02819	HydroCel CleanLeads
e235	0.06678	0.05156	-0.0419	HydroCel CleanLeads
e236	0.06726	0.04433	-0.05228	HydroCel CleanLeads
e237	0.06949	0.03381	-0.06362	HydroCel CleanLeads
e238	0.05038	0.0774	-0.03829	HydroCel CleanLeads
e239	0.05971	0.06471	-0.04888	HydroCel CleanLeads
e240	0.06259	0.05403	-0.05901	HydroCel CleanLeads
e241	-0.0603	0.07373	-0.04315	HydroCel CleanLeads
e242	-0.06705	0.06799	-0.0517	HydroCel CleanLeads
e243	-0.07226	0.05787	-0.0596	HydroCel CleanLeads
e244	-0.07187	0.06599	-0.03403	HydroCel CleanLeads
e245	-0.07728	0.05576	-0.03788	HydroCel CleanLeads
e246	-0.07983	0.04502	-0.05023	HydroCel CleanLeads
e247	-0.0835	0.03492	-0.05998	HydroCel CleanLeads
e248	-0.07553	0.05606	-0.02816	HydroCel CleanLeads
e249	-0.08261	0.03832	-0.0323	HydroCel CleanLeads
e250	-0.08367	0.02895	-0.03947	HydroCel CleanLeads
e251	-0.08733	0.01726	-0.05869	HydroCel CleanLeads
e252	-0.07882	0.04467	-0.01648	HydroCel CleanLeads
e253	-0.08046	0.03697	-0.00069	HydroCel CleanLeads
e254	-0.08417	0.02667	-0.0205	HydroCel CleanLeads
e255	-0.08847	0.0083	-0.03934	HydroCel CleanLeads
e256	-0.08552	-0.00043	-0.05486	HydroCel CleanLeads
