config_id,experiment_name,accuracy,accuracy_std,f1_score,f1_std,training_time,training_time_std,n_subjects,use_fbcsp,use_cnn,use_pinn,config_label
A,Config_A,0.545,0.015000000000000013,0.5460403042209778,0.014487907063536032,1.0661704540252686,0.05044293403625488,2,True,False,False,A (FBCSP Only)
B,Config_B,0.475,0.035,0.47640411402209154,0.034141487759465294,1.6436371803283691,0.13333511352539062,2,False,True,False,B (CNN Only)
C,Config_C,0.5,0.04000000000000001,0.4913984968987595,0.03183066976790716,1.742740273475647,0.016545414924621582,2,True,True,False,C (FBCSP+CNN)
D,Config_D,0.485,0.0050000000000000044,0.4076996219842651,0.052953540479562966,90.1328284740448,2.2956159114837646,2,True,True,True,D (FBCSP+CNN+PINN)
