name	x	y	z	size	manufacturer	material
K13	0.04562	-0.01771	0.05281	7.5	Dixi Medical	PtIr
K14	0.04899	-0.01674	0.05419	7.5	Dixi Medical	PtIr
N2	0.00706	-0.0389	0.05935	7.5	Dixi Medical	PtIr
N3	0.01158	-0.03844	0.06071	7.5	Dixi Medical	PtIr
N10	0.03964	-0.03491	0.06705	7.5	Dixi Medical	PtIr
N11	0.04352	-0.03568	0.06718	7.5	Dixi Medical	PtIr
S1	0.03454	-0.01487	0.01376	7.5	Dixi Medical	PtIr
S2	0.03846	-0.01527	0.01481	7.5	Dixi Medical	PtIr
S3	0.04286	-0.01579	0.01613	7.5	Dixi Medical	PtIr
S4	0.04691	-0.01645	0.01695	7.5	Dixi Medical	PtIr
S5	0.05127	-0.01687	0.01818	7.5	Dixi Medical	PtIr
S6	0.05569	-0.0167	0.01955	7.5	Dixi Medical	PtIr
