name	x	y	z	size	manufacturer	material
K13	0.04589	-0.02525	0.06829	7.5	Dixi Medical	PtIr
K14	0.04883	-0.02462	0.06944	7.5	Dixi Medical	PtIr
N2	0.01369	-0.04327	0.07359	7.5	Dixi Medical	PtIr
N3	0.01734	-0.04343	0.07396	7.5	Dixi Medical	PtIr
N10	0.04143	-0.04482	0.07588	7.5	Dixi Medical	PtIr
N11	0.0453	-0.04497	0.07597	7.5	Dixi Medical	PtIr
S1	0.03509	-0.01701	0.03866	7.5	Dixi Medical	PtIr
S2	0.03854	-0.01717	0.03923	7.5	Dixi Medical	PtIr
S3	0.0422	-0.01729	0.04009	7.5	Dixi Medical	PtIr
S4	0.04541	-0.01749	0.04054	7.5	Dixi Medical	PtIr
S5	0.04885	-0.01765	0.04119	7.5	Dixi Medical	PtIr
S6	0.05252	-0.01768	0.04188	7.5	Dixi Medical	PtIr
